iter	Passed	Remaining
0	475	474567
1	853	425686
2	1292	429661
3	1838	457715
4	2279	453644
5	2699	447149
6	3109	441060
7	3543	439352
8	3955	435517
9	4377	433412
10	4779	429750
11	5182	426715
12	5569	422821
13	5946	418810
14	6314	414666
15	6713	412850
16	7105	410866
17	7520	410288
18	7929	409425
19	8399	411583
20	8831	411710
21	9258	411582
22	9697	411953
23	10128	411902
24	10566	412090
25	10984	411510
26	11397	410718
27	11808	409933
28	12206	408692
29	12727	411537
30	13111	409828
31	13536	409475
32	13965	409223
33	14363	408092
34	14771	407268
35	15166	406113
36	15580	405516
37	15972	404352
38	16365	403272
39	16785	402843
40	17198	402271
41	17617	401847
42	18012	400871
43	18448	400832
44	18860	400251
45	19269	399634
46	19692	399301
47	20106	398781
48	20560	399032
49	21005	399108
50	21468	399483
51	21934	399890
52	22399	400231
53	22871	400681
54	23293	400225
55	23713	399748
56	24121	399070
57	24506	398024
58	24931	397643
59	25335	396930
60	25763	396590
61	26173	395982
62	26589	395461
63	26993	394784
64	27404	394204
65	27899	394824
66	28300	394099
67	28732	393801
68	29118	392887
69	29540	392470
70	29947	391842
71	30333	390963
72	30730	390236
73	31132	389576
74	31534	388929
75	31954	388503
76	32353	387825
77	32776	387431
78	33185	386884
79	33624	386686
80	34047	386286
81	34472	385923
82	34902	385607
83	35297	384914
84	35710	384412
85	36112	383796
86	36512	383166
87	36948	382922
88	37368	382497
89	37803	382240
90	38225	381837
91	38640	381368
92	39065	380996
93	39459	380320
94	39888	379986
95	40286	379364
96	40693	378831
97	41113	378411
98	41499	377683
99	41907	377170
100	42294	376463
101	42678	375740
102	43088	375250
103	43501	374781
104	43924	374402
105	44320	373799
106	44746	373441
107	45208	373392
108	45622	372932
109	46047	372564
110	46453	372043
111	46841	371382
112	47263	370994
113	47731	370963
114	48169	370699
115	48559	370055
116	48939	369347
117	49378	369083
118	49792	368630
119	50207	368189
120	50605	367619
121	51037	367304
122	51481	367069
123	51887	366562
124	52364	366553
125	52848	366582
126	53413	367167
127	53854	366884
128	54324	366793
129	54769	366536
130	55229	366366
131	55644	365901
132	56072	365523
133	56494	365109
134	56893	364540
135	57321	364158
136	57706	363509
137	58112	362992
138	58570	362797
139	58975	362280
140	59393	361834
141	59795	361298
142	60215	360870
143	60633	360435
144	61058	360034
145	61494	359701
146	61911	359256
147	62372	359062
148	62809	358733
149	63284	358610
150	63744	358406
151	64188	358103
152	64608	357671
153	65026	357225
154	65477	356958
155	65936	356732
156	66352	356275
157	66774	355847
158	67179	355332
159	67585	354824
160	67987	354296
161	68379	353714
162	68802	353301
163	69230	352905
164	69654	352494
165	70081	352096
166	70475	351532
167	70887	351060
168	71294	350566
169	71735	350235
170	72167	349865
171	72568	349340
172	72960	348775
173	73384	348365
174	73804	347937
175	74228	347524
176	74650	347105
177	75053	346594
178	75470	346151
179	75901	345771
180	76293	345215
181	76721	344824
182	77118	344296
183	77539	343870
184	77986	343560
185	78386	343046
186	78791	342552
187	79181	341996
188	79595	341546
189	80004	341073
190	80412	340596
191	80830	340162
192	81222	339618
193	81631	339149
194	82037	338669
195	82446	338198
196	82869	337786
197	83274	337305
198	83672	336793
199	84095	336381
200	84505	335918
201	84910	335440
202	85298	334892
203	85705	334418
204	86123	333991
205	86527	333510
206	86919	332982
207	87332	332534
208	87732	332038
209	88141	331579
210	88549	331115
211	88942	330596
212	89365	330192
213	89783	329765
214	90237	329470
215	90699	329207
216	91108	328747
217	91528	328328
218	91951	327917
219	92378	327524
220	92812	327151
221	93203	326630
222	93599	326130
223	94011	325681
224	94444	325310
225	94835	324792
226	95247	324344
227	95643	323845
228	96062	323423
229	96482	323008
230	96878	322509
231	97282	322038
232	97706	321633
233	98133	321241
234	98544	320795
235	98946	320319
236	99337	319809
237	99741	319340
238	100133	318833
239	100538	318372
240	100921	317840
241	101321	317361
242	101771	317041
243	102181	316594
244	102599	316173
245	102992	315676
246	103417	315277
