iter	MultiClass	TotalF1
0	1.772352054	0.6399514821
1	1.586668663	0.6482861435
2	1.446734543	0.684697947
3	1.348929369	0.684851231
4	1.265380799	0.6974374052
5	1.198457699	0.696511971
6	1.137709168	0.7094483035
7	1.093489678	0.7118093468
8	1.053825579	0.7124528526
9	1.01138543	0.7196472346
10	0.9780123171	0.7209305321
11	0.9492157679	0.7236289392
12	0.9209377838	0.7250468395
13	0.8951818607	0.727326676
14	0.8735559713	0.7269839892
15	0.8521016409	0.7268229752
16	0.8300251904	0.7304188023
17	0.8072756198	0.7330387978
18	0.7919633072	0.7337353419
19	0.7769221482	0.7384759205
20	0.7595229664	0.739867909
21	0.7486683376	0.7408701476
22	0.7365930732	0.7371225798
23	0.7244479053	0.7415895291
24	0.713716628	0.7416998512
25	0.7023294873	0.7520477705
26	0.6941673778	0.7536669661
27	0.6867114629	0.7538854967
28	0.6762687544	0.75421519
29	0.6663274783	0.7701637721
30	0.6596221924	0.7722112957
31	0.6539000723	0.7726598435
32	0.6468934218	0.7726837743
33	0.6383736743	0.7783815256
34	0.6314139183	0.7825738693
35	0.623019025	0.7847591022
36	0.6172298276	0.7846898823
37	0.6133963958	0.7850349271
38	0.6097115005	0.7885395841
39	0.6050083246	0.789000751
40	0.6010053729	0.7933996049
41	0.5950121765	0.7918239833
42	0.5908016084	0.7946158761
43	0.5873588485	0.7954295646
44	0.5850832788	0.7963023684
45	0.5819100296	0.7961530857
46	0.5801186781	0.7975608288
47	0.5770051165	0.798135488
48	0.5748433714	0.7981521067
49	0.5719113136	0.7992918699
50	0.5693929759	0.7997111798
51	0.565685255	0.8004218524
52	0.5638008667	0.8006095095
53	0.5596764213	0.8016829929
54	0.5566414854	0.8033184858
55	0.554395393	0.8037046106
56	0.5526061973	0.8043767945
57	0.5501354887	0.8039203285
58	0.545983088	0.8049208221
59	0.5421637457	0.8057683044
60	0.5406440355	0.8065995441
61	0.5381184319	0.8071703945
62	0.5373185149	0.8064255022
63	0.5357084946	0.8064830273
64	0.5343169693	0.8064474613
65	0.5315988393	0.8065183387
66	0.5292447942	0.8077758563
67	0.5281607973	0.8079396262
68	0.5272606807	0.8078624026
69	0.5265034535	0.808522456
70	0.5243407949	0.8086382007
71	0.5225519906	0.809072601
72	0.5210601852	0.8090977937
73	0.5203423309	0.8096694693
74	0.5193660307	0.8101420064
75	0.5181791267	0.8099808098
76	0.5159003087	0.8110776557
77	0.5137594396	0.8117793079
78	0.5114758733	0.811966173
79	0.5087929662	0.8119177326
80	0.5080576603	0.8118456503
81	0.5074303994	0.8131063304
82	0.5064664026	0.8134542032
83	0.5049516393	0.8126279211
84	0.5040823742	0.8131891666
85	0.5029470572	0.8139692482
86	0.5027062507	0.8139024056
87	0.5017758057	0.8139635887
88	0.5000133077	0.8141580843
89	0.499607449	0.8140983758
90	0.4981787204	0.8145013209
91	0.4973392169	0.8151574447
92	0.4951325569	0.8158053816
93	0.494396762	0.8157688726
94	0.493348676	0.816472848
95	0.4926461047	0.8163344402
96	0.4917075115	0.8160785392
97	0.491194696	0.8165534078
98	0.4892070612	0.8163444929
99	0.4875519032	0.8165402325
100	0.4871384168	0.8168495902
101	0.4854944487	0.8177478272
102	0.4840549037	0.8176670145
103	0.4825106441	0.817844997
104	0.4818580044	0.8179423775
105	0.4804782099	0.8183010218
106	0.479660486	0.8187312898
107	0.4786211861	0.8190474388
108	0.478290151	0.8187472337
109	0.477754564	0.8189803474
110	0.4770674521	0.819499011
111	0.4754935835	0.8196906548
112	0.4752035464	0.8198454907
113	0.4738879798	0.8197081462
114	0.4731477818	0.8197184867
115	0.4721740952	0.8197403089
116	0.4710746815	0.8201813616
117	0.4706843113	0.820681644
118	0.4685336703	0.8214216722
119	0.4676635728	0.821557736
120	0.4674593145	0.8216452623
121	0.4674128998	0.8216452623
122	0.467061049	0.8218873516
123	0.4665608463	0.8219267957
124	0.4654897727	0.822105704
125	0.4646853648	0.8218727455
126	0.4643122251	0.8218663088
127	0.4634015365	0.8225265456
128	0.4631172741	0.8218740598
129	0.4620831255	0.8223454753
130	0.4612027066	0.8227250463
131	0.4600196798	0.8233726555
132	0.4594722826	0.8237550605
133	0.4592610397	0.8236588429
134	0.4587693697	0.8244489325
135	0.4583892789	0.8242451857
136	0.457786625	0.8241194979
137	0.4568767283	0.8238642997
138	0.4567085461	0.8239324382
139	0.456573751	0.8239340692
140	0.4553534592	0.8246959321
141	0.454904598	0.8242802488
142	0.4545510665	0.8247199696
143	0.4543521643	0.8247197474
144	0.4540600304	0.8251587031
145	0.4531522365	0.8255335359
146	0.453124469	0.8255424656
147	0.4522623251	0.8259852129
148	0.451988173	0.8261538222
149	0.4505180351	0.82658779
150	0.449890246	0.8266140311
151	0.4497507251	0.8265380625
152	0.449282053	0.8267071305
153	0.4485602267	0.8268822954
154	0.4478747683	0.8269259647
155	0.4474814087	0.8268396348
156	0.4474484706	0.8269165947
157	0.446647674	0.8271064777
158	0.4464926332	0.8271165911
159	0.4463923506	0.827042729
160	0.4457602704	0.8270259325
161	0.445435858	0.8273177215
162	0.4448921033	0.8272646815
163	0.4447939696	0.8274600602
164	0.4444512561	0.8276873616
165	0.4437067838	0.8281229938
166	0.443300832	0.8276549496
167	0.4426367325	0.8276973742
168	0.4420977036	0.8281150691
169	0.4413775766	0.8284152787
170	0.4409613064	0.8286093232
171	0.4406980648	0.8290778537
172	0.440526566	0.8288021717
173	0.4402584798	0.8288228808
174	0.4399167197	0.829257652
175	0.4398336993	0.8295359112
176	0.4395583253	0.8296117756
177	0.4388494851	0.8298822361
178	0.4387486527	0.8300560215
179	0.4384704645	0.8302253049
180	0.438294058	0.8302973423
181	0.4380574761	0.8302209115
182	0.4379462569	0.8303644412
183	0.4376033165	0.8302783712
184	0.4366086525	0.8305277878
185	0.4364546756	0.8307211964
186	0.4363080389	0.8307965784
187	0.4360572407	0.8311417956
188	0.4357797856	0.8316928519
189	0.4348510658	0.8319725891
190	0.4347648402	0.8320656234
191	0.4342414612	0.8321760166
192	0.4339138561	0.8324361588
193	0.4336354455	0.8323259118
194	0.4334452641	0.8323083012
195	0.4333117308	0.8323849513
196	0.4329792637	0.8326492341
197	0.4327755231	0.8326855173
198	0.4324698457	0.8329339883
199	0.4323007083	0.8326981275
200	0.4310189393	0.833321717
201	0.430128294	0.8332625677
202	0.4297865513	0.8336650645
203	0.429607525	0.8335405997
204	0.4294168188	0.8333641146
205	0.429317293	0.8336178262
206	0.4290254252	0.8337830462
207	0.4286785492	0.8340624934
208	0.4286661732	0.8341432102
209	0.428600697	0.8341440552
210	0.4283416142	0.8347934356
211	0.4281888121	0.8344647837
212	0.428113161	0.8344996024
213	0.4274139786	0.835069543
214	0.4273848604	0.8351604387
215	0.4266322761	0.8348992832
216	0.4265480747	0.8351597435
217	0.4264028669	0.8351597435
218	0.4262153707	0.8352296463
219	0.4259675906	0.8352569765
220	0.4257379733	0.835204183
221	0.4250803092	0.8349344193
222	0.4246444051	0.8352981588
223	0.4238004708	0.8361309581
224	0.4235934372	0.8361200753
225	0.4233590711	0.8362007439
226	0.4232833411	0.836309231
227	0.4231165888	0.8361379007
228	0.422558893	0.836574905
229	0.4224106443	0.8363951435
230	0.4222553652	0.8365040257
231	0.4220799715	0.8364088809
232	0.4215048606	0.8364756931
233	0.4211771771	0.8362147257
234	0.4206108723	0.8362286992
235	0.4205407164	0.8364750755
236	0.4203705487	0.8362576278
237	0.4199334419	0.8364778366
238	0.4198628299	0.8363092082
239	0.4193305667	0.8364228097
240	0.4192713517	0.8364202246
241	0.4190469768	0.8365184209
242	0.4189258309	0.8361925984
243	0.4185294456	0.8361174356
244	0.4180448179	0.8362400973
245	0.4177394804	0.8361154336
246	0.4171787672	0.8361956091
247	0.4170030929	0.8363028814
248	0.4168789851	0.8365689641
249	0.4165757775	0.8360952813
250	0.4163977832	0.8362916488
251	0.4160291231	0.8364267138
252	0.4158717571	0.8363630825
253	0.415852657	0.8363630825
254	0.4154774163	0.8364303119
255	0.4151253407	0.836485855
256	0.414759555	0.837001145
257	0.4146321924	0.8367568431
258	0.4144676768	0.8369446296
259	0.4142943308	0.8369150714
260	0.413964078	0.8369668393
261	0.4138608867	0.8372436562
262	0.4134033005	0.8375028422
263	0.4131886409	0.8380866456
264	0.4129057055	0.8382693935
265	0.4128279815	0.8381642053
266	0.4124280315	0.8385490997
267	0.4121066383	0.8386534219
268	0.4119901007	0.838530651
269	0.4117065318	0.8384709895
270	0.4116619296	0.8382949008
271	0.4112096029	0.8385107872
272	0.4108550044	0.8383025934
273	0.4107229069	0.8383025934
274	0.4104186839	0.8389584906
275	0.4102837203	0.838881876
276	0.4102155384	0.8385747686
277	0.4101127472	0.8389392517
278	0.409991895	0.8388498776
279	0.4098078511	0.8390356761
280	0.4095034489	0.8391203363
281	0.4087856005	0.8399109727
282	0.408342201	0.8400982574
283	0.4076976506	0.8404011239
284	0.4074159894	0.8407381616
285	0.407066703	0.8407491144
286	0.4069116586	0.8406675309
287	0.4068388984	0.8405834925
288	0.4063964409	0.8407470191
289	0.4061104771	0.840648418
290	0.4055695991	0.8409565524
291	0.4054456136	0.8408573731
292	0.4053484844	0.840755723
