iter	Passed	Remaining
0	40	81900
1	69	69118
2	99	66114
3	127	63719
4	156	62294
5	185	61601
6	214	61110
7	242	60313
8	270	59890
9	299	59571
10	327	59145
11	353	58525
12	381	58247
13	411	58316
14	439	58097
15	466	57865
16	496	57889
17	525	57882
18	554	57831
19	580	57515
20	611	57647
21	638	57405
22	668	57459
23	699	57622
24	728	57523
25	760	57704
26	792	57891
27	819	57751
28	852	57914
29	882	57935
30	916	58210
31	947	58251
32	976	58195
33	1007	58284
34	1037	58220
35	1067	58258
36	1096	58180
37	1122	57960
38	1151	57896
39	1185	58111
40	1218	58229
41	1250	58294
42	1291	58793
43	1344	59769
44	1394	60578
45	1423	60450
46	1451	60304
47	1482	60268
48	1516	60361
49	1546	60296
50	1576	60244
51	1610	60324
52	1635	60074
53	1666	60055
54	1696	60009
55	1725	59909
56	1753	59758
57	1782	59692
58	1818	59812
59	1848	59767
60	1874	59582
61	1905	59551
62	1930	59350
63	1957	59204
64	1982	59010
65	2011	58942
66	2038	58801
67	2062	58602
68	2091	58532
69	2117	58388
70	2146	58316
71	2175	58255
72	2201	58117
73	2226	57938
74	2252	57811
75	2278	57677
76	2308	57641
77	2335	57559
78	2368	57589
79	2400	57603
80	2427	57505
81	2453	57381
82	2478	57244
83	2510	57261
84	2536	57156
85	2563	57055
86	2587	56887
87	2611	56744
88	2641	56722
89	2666	56582
90	2694	56517
91	2724	56511
92	2757	56550
93	2783	56435
94	2812	56407
95	2838	56292
96	2864	56204
97	2889	56078
98	2918	56041
99	2945	55963
100	2969	55838
101	2994	55727
102	3024	55695
103	3050	55608
104	3075	55509
105	3104	55469
106	3132	55424
107	3159	55352
108	3183	55225
109	3207	55104
110	3232	55013
111	3262	54988
112	3285	54872
113	3311	54786
114	3336	54692
115	3363	54631
116	3388	54541
117	3412	54427
118	3445	54465
119	3472	54399
120	3495	54277
121	3517	54153
122	3541	54048
123	3571	54039
124	3604	54070
125	3629	53977
126	3653	53875
127	3683	53870
128	3707	53771
129	3735	53727
130	3761	53669
131	3790	53641
132	3814	53546
133	3837	53441
134	3861	53352
135	3887	53287
136	3914	53232
137	3941	53183
138	3964	53084
139	3988	52986
140	4018	52975
141	4042	52892
